Path,Name,Default Culture,Key,en,Comment,fr-fr
eVolveMEP Data Table Tools/Properties/Resources,ResetSelectedDataTableConfigPrompt,Delete saved configuration for the selected {0}?,eVolveMEP Data Table Tools/Properties/Resources!ResetSelectedDataTableConfigPrompt,Delete saved configuration for the selected {0}?,,Réinitialiser la configuration enregistrée pour le {0} sélectionné ?
eVolveMEP Data Table Tools/Properties/Resources,SettingsLoadErrorNotice,Could not load settings file:,eVolveMEP Data Table Tools/Properties/Resources!SettingsLoadErrorNotice,Could not load settings file:,,Impossible de charger le fichier de paramètres :
eVolveMEP CSV Data Exchange/Properties/Resources,SettingsLoadErrorNotice,Could not load settings file:,eVolveMEP CSV Data Exchange/Properties/Resources!SettingsLoadErrorNotice,Could not load settings file:,,Impossible de charger le fichier de paramètres :
eVolveMEP Data Table Tools/Properties/Resources,SettingsSaveErrorNotice,Could not save settings file:,eVolveMEP Data Table Tools/Properties/Resources!SettingsSaveErrorNotice,Could not save settings file:,,Impossible d'enregistrer le fichier de paramètres :
eVolveMEP CSV Data Exchange/Properties/Resources,SettingsSaveErrorNotice,Could not save settings file:,eVolveMEP CSV Data Exchange/Properties/Resources!SettingsSaveErrorNotice,Could not save settings file:,,Impossible d'enregistrer le fichier de paramètres :
eVolveMEP CSV Data Exchange/Properties/Resources,SingleValueMustBeSelectedError,A single {0} must be selected.,eVolveMEP CSV Data Exchange/Properties/Resources!SingleValueMustBeSelectedError,A single {0} must be selected.,Tag refers to a data entry field,Un seul élément {0} doit être sélectionné.
eVolveMEP Data Table Tools/ToolsDialog,SQLConnectButton.Text,SQLConnectButton,eVolveMEP Data Table Tools/ToolsDialog!SQLConnectButton.Text,SQLConnectButton,,SQLConnectButton
eVolveMEP Data Table Tools/ToolsDialog,SQLConnectionStatusLabel.Text,SQLConnectionStatusLabel,eVolveMEP Data Table Tools/ToolsDialog!SQLConnectionStatusLabel.Text,SQLConnectionStatusLabel,,SQLConnectionStatusLabel
eVolveMEP Data Table Tools/ToolsDialog,SQLConnectionStringGroupBox.Text,SQL Server Connection String,eVolveMEP Data Table Tools/ToolsDialog!SQLConnectionStringGroupBox.Text,SQL Server Connection String,,Chaîne de connexion au serveur SQL
eVolveMEP Data Table Tools/ToolsDialog,SQLConnectionStringHelpLabel.Text,View example values,eVolveMEP Data Table Tools/ToolsDialog!SQLConnectionStringHelpLabel.Text,View example values,,Afficher les exemples de valeurs
eVolveMEP Data Table Tools/ToolsDialog,SQLCustomOperationsGoupBox.Text,Custom Operations,eVolveMEP Data Table Tools/ToolsDialog!SQLCustomOperationsGoupBox.Text,Custom Operations,,Opérations personnalisées
eVolveMEP Data Table Tools/ToolsDialog,SQLExportDataGroupBox.Text,Export Data,eVolveMEP Data Table Tools/ToolsDialog!SQLExportDataGroupBox.Text,Export Data,,Exporter les données
eVolveMEP Data Table Tools/ToolsDialog,SQLExportExecuteButton.Text,Execute,eVolveMEP Data Table Tools/ToolsDialog!SQLExportExecuteButton.Text,Execute,,Exécuter
eVolveMEP Data Table Tools/ToolsDialog,SQLExportFieldMappingAddButton.Text,Add,eVolveMEP Data Table Tools/ToolsDialog!SQLExportFieldMappingAddButton.Text,Add,,Ajouter
eVolveMEP Data Table Tools/ToolsDialog,SQLExportFieldMappingGroupBox.Text,Field Mapping,eVolveMEP Data Table Tools/ToolsDialog!SQLExportFieldMappingGroupBox.Text,Field Mapping,,Correspondance des champs
eVolveMEP Data Table Tools/ToolsDialog,SQLExportFieldMappingRemoveButton.Text,Remove,eVolveMEP Data Table Tools/ToolsDialog!SQLExportFieldMappingRemoveButton.Text,Remove,,Retirer
eVolveMEP Data Table Tools/ToolsDialog,SQLExportPostEventButton.Text,Edit,eVolveMEP Data Table Tools/ToolsDialog!SQLExportPostEventButton.Text,Edit,,Modifier
eVolveMEP Data Table Tools/ToolsDialog,SQLExportPostEventCheckBox.Text,Run SQL After Export,eVolveMEP Data Table Tools/ToolsDialog!SQLExportPostEventCheckBox.Text,Run SQL After Export,,Exécuter SQL après l'exportation
eVolveMEP Data Table Tools/ToolsDialog,SQLExportPreEventButton.Text,Edit,eVolveMEP Data Table Tools/ToolsDialog!SQLExportPreEventButton.Text,Edit,,Modifier
eVolveMEP Data Table Tools/ToolsDialog,SQLExportPreEventCheckBox.Text,Run SQL Before Export,eVolveMEP Data Table Tools/ToolsDialog!SQLExportPreEventCheckBox.Text,Run SQL Before Export,,Exécuter SQL avant l'exportation
eVolveMEP Data Table Tools/ToolsDialog,SQLExportTargetLabel.Text,Target,eVolveMEP Data Table Tools/ToolsDialog!SQLExportTargetLabel.Text,Target,,Cible
eVolveMEP Data Table Tools/Properties/Resources,SQLImportConfirmationPrompt,"Warning: This operation will completely overwrite the structure and contents the selected {0} and rebuild with the {1} selections.

Would you like to continue?",eVolveMEP Data Table Tools/Properties/Resources!SQLImportConfirmationPrompt,"Warning: This operation will completely overwrite the structure and contents the selected {0} and rebuild with the {1} selections.

Would you like to continue?",,"Avertissement : Cette opération écrasera complètement la structure et le contenu du {0} sélectionné et effectuera une reconstruction avec les sélections {1}.

Voulez-vous continuer ?"
eVolveMEP Data Table Tools/ToolsDialog,SQLImportDataGroupBox.Text,Import Data,eVolveMEP Data Table Tools/ToolsDialog!SQLImportDataGroupBox.Text,Import Data,,Importer les données
eVolveMEP Data Table Tools/ToolsDialog,SQLImportExecuteButton.Text,Execute,eVolveMEP Data Table Tools/ToolsDialog!SQLImportExecuteButton.Text,Execute,,Exécuter
eVolveMEP Data Table Tools/ToolsDialog,SQLImportSourceCustomButton.Text,Edit,eVolveMEP Data Table Tools/ToolsDialog!SQLImportSourceCustomButton.Text,Edit,,Modifier
eVolveMEP Data Table Tools/ToolsDialog,SQLImportSourceCustomRadioButton.Text,Custom SQL,eVolveMEP Data Table Tools/ToolsDialog!SQLImportSourceCustomRadioButton.Text,Custom SQL,,SQL personnalisé
